datetime,Compound,Aave,Morpho,Sky
2025-03-21,-1417718.3375110012,-198968.1838669996,3743538.8212110004,3508039.028951
2025-03-22,-1417718.3375110012,-198968.1838669996,3820695.2693980006,3395419.822591
2025-03-23,-1417718.3375110012,-198968.1838669996,3820695.2693980006,3315464.0153659997
2025-03-24,-1417718.3375110012,-198968.1838669996,4035009.2993220007,3179685.461996
2025-03-25,-1417718.3375110012,-198968.1838669996,4035009.2993220007,3104117.3764879997
2025-03-26,-1417718.3375110012,-198968.1838669996,4035009.2993220007,3069631.2920029997
2025-03-27,-1417718.3375110012,-198968.1838669996,4035009.2993220007,3069631.2920029997
2025-03-28,-1417718.3375110012,-198968.1838669996,4035009.2993220007,3069631.2920029997
2025-03-29,-1417718.3375110012,-198968.1838669996,3583340.9572600005,3441086.5778159997
2025-03-30,1259322.9625529987,-198968.1838669996,794215.2848970005,3441086.5778159997
2025-03-31,1174675.3572079986,-200038.7947639996,793942.8368080006,3440856.5684089996
2025-04-01,1141489.5998459987,-200038.7947639996,793942.8368080006,3440856.5684089996
2025-04-02,-872432.6423830013,-200038.7947639996,3416767.7091180007,2611086.9521659994
2025-04-03,-1116923.6189120011,-200038.7947639996,3417465.1611870006,2853959.3024119996
2025-04-04,-1256259.275426001,-200038.7947639996,3417465.1611870006,2853959.3024119996
2025-04-05,-1256259.275426001,-200038.7947639996,3417465.1611870006,2853959.3024119996
2025-04-06,-1156464.651714001,-200038.7947639996,3417465.1611870006,2911658.9323789994
2025-04-07,-1270651.201857001,-200038.7947639996,3417465.1611870006,3000806.097038999
2025-04-08,-1270663.6021850011,-200038.7947639996,3417465.1611870006,3000806.097038999
2025-04-09,-1332562.5870640012,-200038.7947639996,3417465.1611870006,3000806.097038999
2025-04-10,-1334260.5644430013,-200038.7947639996,3417465.1611870006,2601488.420162999
2025-04-11,-1334260.5644430013,-200038.7947639996,3417465.1611870006,2601488.420162999
2025-04-12,-1334260.5644430013,-200038.7947639996,3417465.1611870006,2601488.420162999
2025-04-13,-1334260.5644430013,-200038.7947639996,3417465.1611870006,2601488.420162999
2025-04-14,-1334260.5644430013,-200038.7947639996,3417465.1611870006,2611118.099384999
2025-04-15,-1334260.5644430013,-200038.7947639996,3417465.1611870006,2708889.807388999
2025-04-16,-1334260.5644430013,-200038.7947639996,3417465.1611870006,2699876.7680659993
2025-04-17,-1334260.5644430013,-200038.7947639996,3417465.1611870006,2699876.7680659993
2025-04-18,-1334260.5644430013,-200038.7947639996,3417465.1611870006,2699876.7680659993
2025-04-19,-1334260.5644430013,-200038.7947639996,3417465.1611870006,2699876.7680659993
